Numéro du poste,Circonscription,Commune,Etablissement,RNE,Nature,Spécialité,Nb. Cl.,Dont Cl. Spé.,Nb supports mis au mouvement,Nb supports inaccessibles,Total,Dont nb supports vacants,Coords
17955,MONTEREAU,BAZOCHES LES BRAY,,0770062Z,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.398468, 3.1878374)"
17956,MONTEREAU,BAZOCHES LES BRAY,,0770062Z,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.398468, 3.1878374)"
19359,PROVINS,BEAUCHERY ST MARTIN,,0770894D,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.6154282, 3.4033823)"
19360,PROVINS,BEAUCHERY ST MARTIN,,0770894D,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.6154282, 3.4033823)"
18045,NEMOURS,BEAUMONT DU GATINAIS,ROSA BONHEUR                  ,0770133B,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.1365394, 2.4763389)"
18046,NEMOURS,BEAUMONT DU GATINAIS,ROSA BONHEUR                  ,0770133B,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,3,0,3,0,"(48.1365394, 2.4763389)"
18047,NEMOURS,BEAUMONT DU GATINAIS,ROSA BONHEUR                  ,0770133B,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,3,0,3,0,"(48.1365394, 2.4763389)"
211334,NEMOURS,BEAUMONT DU GATINAIS,ROSA BONHEUR                  ,0770133B,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.1365394, 2.4763389)"
18189,COULOMMIERS,BEAUTHEIL-SAINTS,,0770216S,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,0,"(48.7597784, 3.0454771)"
18225,COULOMMIERS,BEAUTHEIL-SAINTS,,0770244X,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.7597784, 3.0454771)"
18190,COULOMMIERS,BEAUTHEIL-SAINTS,,0770216S,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,0,4,0,"(48.7597784, 3.0454771)"
18227,COULOMMIERS,BEAUTHEIL-SAINTS,,0770244X,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,3,0,3,1,"(48.7597784, 3.0454771)"
211941,COULOMMIERS,BEAUTHEIL-SAINTS,,0770216S,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7597784, 3.0454771)"
211942,COULOMMIERS,BEAUTHEIL-SAINTS,,0770244X,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7597784, 3.0454771)"
19207,COULOMMIERS,BELLOT,CASIMIR CEPEDE                ,0770805G,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,1,"(48.8562161, 3.3194733)"
